consolidation_id,hub_name,supplier,package_count,total_value,original_shipping_cost,consolidated_shipping_cost,cost_savings,admin_savings,total_savings,original_lead_time,consolidated_lead_time,time_efficiency,supplier_to_hub_cost,hub_processing_cost,hub_to_slo_cost,delivery_schedule,packages
Los_Angeles_Hub_A-TOWN_AV_INC_0,Los Angeles Hub,A-TOWN AV INC,10,6337.4,633.74,563.99,69.75,225,294.75,21,22,-1,380.24,150,33.75,"{'order_date': '2025-08-07', 'estimated_delivery': '2025-08-29', 'total_transit_days': 22, 'business_days': 20}","[{'value': 1231.06, 'original_shipping': 123.11}, {'value': 1218.12, 'original_shipping': 121.81}, {'value': 399.04, 'original_shipping': 39.9}, {'value': 235.04, 'original_shipping': 23.5}, {'value': 70.21, 'original_shipping': 7.02}, {'value': 1516.08, 'original_shipping': 151.61}, {'value': 502.28, 'original_shipping': 50.23}, {'value': 315.15, 'original_shipping': 31.52}, {'value': 340.0, 'original_shipping': 34.0}, {'value': 510.42, 'original_shipping': 51.04}]"
Los_Angeles_Hub_A-TOWN_AV_INC_1,Los Angeles Hub,A-TOWN AV INC,10,3420.31,342.05,393.48,-51.43,225,173.57,10,11,-1,205.23,150,38.25,"{'order_date': '2025-08-07', 'estimated_delivery': '2025-08-18', 'total_transit_days': 11, 'business_days': 9}","[{'value': 322.0, 'original_shipping': 32.2}, {'value': 441.15, 'original_shipping': 44.12}, {'value': 628.55, 'original_shipping': 62.86}, {'value': 472.55, 'original_shipping': 47.26}, {'value': 303.65, 'original_shipping': 30.37}, {'value': 491.71, 'original_shipping': 49.17}, {'value': 486.19, 'original_shipping': 48.62}, {'value': 128.27, 'original_shipping': 12.83}, {'value': 79.32, 'original_shipping': 7.93}, {'value': 66.92, 'original_shipping': 6.69}]"
Los_Angeles_Hub_A-TOWN_AV_INC_2,Los Angeles Hub,A-TOWN AV INC,7,1986.7,198.68,264.71,-66.03,150,83.97,7,8,-1,119.21,105,40.5,"{'order_date': '2025-08-07', 'estimated_delivery': '2025-08-15', 'total_transit_days': 8, 'business_days': 6}","[{'value': 118.05, 'original_shipping': 11.81}, {'value': 744.75, 'original_shipping': 74.48}, {'value': 137.56, 'original_shipping': 13.76}, {'value': 116.13, 'original_shipping': 11.61}, {'value': 80.0, 'original_shipping': 8.0}, {'value': 710.14, 'original_shipping': 71.01}, {'value': 80.07, 'original_shipping': 8.01}]"
Los_Angeles_Hub_ADVANCED_BIOMEDICAL_0,Los Angeles Hub,ADVANCED BIOMEDICAL,5,1963.0,196.3,233.28,-36.98,100,63.02,14,15,-1,117.78,75,40.5,"{'order_date': '2025-08-07', 'estimated_delivery': '2025-08-22', 'total_transit_days': 15, 'business_days': 13}","[{'value': 252.0, 'original_shipping': 25.2}, {'value': 576.0, 'original_shipping': 57.6}, {'value': 660.0, 'original_shipping': 66.0}, {'value': 95.0, 'original_shipping': 9.5}, {'value': 380.0, 'original_shipping': 38.0}]"
Sacramento_Hub_DEEP_BLUE_INTEGRATION_INC_0,Sacramento Hub,DEEP BLUE INTEGRATION INC,3,2590.0,259.0,221.65,37.35,50,87.35,14,14,0,155.4,45,21.25,"{'order_date': '2025-08-07', 'estimated_delivery': '2025-08-21', 'total_transit_days': 14, 'business_days': 12}","[{'value': 930.0, 'original_shipping': 93.0}, {'value': 1040.0, 'original_shipping': 104.0}, {'value': 620.0, 'original_shipping': 62.0}]"
San_Francisco_Hub_CENTRAL_COAST_SPECIALTY_I_0,San Francisco Hub,CENTRAL COAST SPECIALTY I,1,673.0,67.3,88.63,-21.33,0,-21.33,21,21,0,40.38,15,33.25,"{'order_date': '2025-08-07', 'estimated_delivery': '2025-08-28', 'total_transit_days': 21, 'business_days': 19}","[{'value': 673.0, 'original_shipping': 67.3}]"
